0,1,2,3,4,5,6
1487,"Espaco bonito e envolvente, bem tratado e limpo. Agradavel e com varias atividades ao ar livre para poder desfrutar da natureza, espaco bem conseguido e bem decorado, ideal para descansar e para familias.",3,positive,visita para Setembro,julho,2016
1488,"A viagem correu muito bem! Um excelente hotel para se ir com criancas!! Esperamos voltar em breve! As actividades infantis, as piscinas, o sunset que foi organizado, a alimentacao do restaurante tudo excepcional!!  Estao de parabens!!",3,positive,Refeicoes de enorme,julho,2016
1489,"Boa localizacao e espaco envolvente, boas infraestruturas e bom restaurante. Excelente hotel para familias com filhos. Bastante animacao especialmente para as criancas. A estrada de acesso ao hotel deveria ser repavimentada.",3,positive,enorme qualidade,julho,2016
1490,"Instalacoes bem mantidas, boa comida na generalidade, bons quartos, boa limpeza, boa piscina e bom spa.   Apenas podia ser melhor se o quarto adaptado tivesse base de duche em vez de banheira e mais rampas de acesso em locais estrategicos.",3,positive,limpeza,julho,2016
1491,desde a senhora dos lencois ao gerente do hotel tudo 5 estrelas recomendo. optimo local para tar em familia com criancas para desfrutar da alegria dos mais novos e do descanso para os mais velhos ou seja nos pais optimo mesmo.,3,positive,enorme,julho,2016
1492,"Nao ia com grandes expectativas depois de ler algumas das criticas. Mas depois desta estadia vou passar a desconfiar mais das opinioes. Adoramos! Um hotel familiar com orgulho em ser familiar, em que as criancas sao a prioridades porque se agradam as criancas agradam os pais! Um espaco infantil, animais, animacao e uma piscina so para eles on escorregas fazem deste local unico! Ninguem aqui sente falta da praia! Adoramos! Na recepcao destacamos a vera, uma simpatia! O restaurante serviu um jantar bufet fabuloso de fazer corar de vergonha muitos outros que se dizem melhores (por exemplo grupo pestana). O unico aspeto negativo sao mesmo os quartos. Ficamos no 131, fumadores, mal insonorizados a semelhanca do que ja nos tinha acontecido no albacora. Fora esse aspeto, tudo 5",3,positive,Vila Gale,julho,2016
1493,Bom local para passar com a familia. Otimo para criancas! A simpatia dos funcionarios foi o que mais nos agradou. Estao sempre atentos ao nosso bem-estar e disponiveis para o que precisarmos. A alimentacao e muito cara.,3,positive,Gale que conhecemos,julho,2016
1494,"O hotel fica situado no meio do nada onde se tem tudo, sol, descanso, entretenimento e comida tipica alentejana. Ja para nao falar no por do sol magnifico.  Tambem se tem um ambiente familiar onde rapidamente nos setimos em casa.  O dificil, dificil  e vir embora!",3,positive,Vila,julho,2016
1495,"Com uma localizacao privilegiada, no meio do Alentejo, para perto de uma pequena barragem, e propicio oara um pequeno momento de relaxamento em familia (ideal para quem tem criancas), com piscina, possibilidade de passeios pela enorme zona da vinha e interaccao com animais.",3,positive,Gale,julho,2016
1496,"Todos os Colaboradores sem excecao muito simpaticos, acolhedores e disponiveis. Clientes maioritariamente sao familias com filhos. Localizado junto de uma paisagem calma, serena e uma vista fantastica. Os animais da quinta deviam ter mais sombra devido aos torridos dias de verao no Alentejo mas sem duvida fazem as delicias das criancas. Gostamos muito e vamos voltar em breve.",3,positive,nao nos desapontou,julho,2016
1497,"Optimo para repousar do dia-a-dia cheio de stress  Fantastico para quem precisa de oxigenio, silencio e descanso. Penso que poderia haver mais sombras na zona da piscina exterior;. No meio de tanta natureza verdejante, poderia haver circuitos pedonais com placas indicativas.",3,negative,conhecemos,julho,2016
1498,Excelente local para ferias em familia. Criancas adoraram piscina com escorregas. Limpeza do quarto e espaco exterior sao de salientar. E de referir e agradecer a forma como os animadores do hotel interagem com os mais pequenos. Comida de qualidade. Animacao noturna boa. Staff profissional e educado.,3,positive,desapontou,julho,2016
1499,"Paisagens deslumbrantes, ambiente muito agradavel com tudo o que e preciso para se descansar, incluindo muito sol.Pessoal muito simpatico, boa comida e bom vinho. Passeando pela herdade encontramos varios animais.... Foi fantastico",3,positive,hotel,julho,2016
1500,"Pelo quarto ano consecutivo que frequento o clube de campo e cada vez faco o check-out as saudades daquele espaco sao imediatas.Optimo servico, excelentes funcionarios e instalacoes dignas do ambiente rural que por la se vive. Apenas lhe acrescentava animacao noturna, de todas as vezes que la estive nunca houve nenhuma.",3,positive,nao,julho,2016
1501,"Este e o segundo ano e recomendo . Muito bom pela tranquilidade do local, o conforto das instalacoes e a simpatia dos funcionarios.. Bom ambiente na piscina dos adultos , excelente piscina para criancas com escorregas que fazem a delicia dos adultos e dos mais pequenos. O restaurante e muito bom , o snack podia ser um bocadinho melhor em comparacao com os precos ...mas aceita-se. A quinta pedagogica faz a delicia das criancas. A animacao foi bastante melhor este ano que o ano passado ,gracas a animadora Carolina (5 estrelas ) Em geral um hotel para quem gostar de sossego ..",3,positive,semana de ferias,julho,2016
1502,"Hotel ideal para relaxar e ter contato com animais!! Criancas vao amar!! O hotel Vila Gale Clube de Campo, perto de Beja, em pleno Alentejo, oferece um conceito unico, aliando turismo rural, enoturismo e diferentes atividades ligadas ao ecoturismo. Renovado em 2014, a arquitetura e decoracao desta unidade inspiram-se na paisagem e na tradicao alentejana.",3,positive,Excelente,julho,2016
1503,"Muito bom pela tranquilidade do local, o conforto das instalacoes e a simpatia dos funcionarios. Bom ambiente na piscina dos adultos (de um modo geral sossegada), esplanadas do restaurante/bar agradaveis, pores-do-sol campestres invejaveis.",3,positive,hoteis nao espere,julho,2016
1504,Estadia com marido e filho. Superou as expectativas! Quartos com muito conforto. Piscinas otimas. A das criancas com escorregas para a agua faz as delicias dos mais novos. Eles divertem-se muito e os Pais descansam. A paisagem e muito bonita e relaxante. A comida e otima! Todos os colaboradores sao muito profissionais e simpaticos. E um local otimo para desligar da cidade e relaxar! Recomendo vivamente!,3,positive,Excelente Qualidade,marco,2016
1505,"Empregados muito simpaticos, sitio relaxante e pacato, como se costuma dizer no meio do nada. Quando estive a partir das 23.30h, nao existia servico de cozinha, fiquei condicionado a uns cajus e uma barra de chocolate... nao sei ja  foi corrigido.",3,positive,Aspectos,julho,2016
1506,"Um lugar otimo para ferias ou simplesmente um fim de semana relaxante em familia, onde as criancas nao foram esquecidas, podendo realizar varias actividades ao longo do dia, sempre acompanhadas por uma pessoa que se dedica so a elas e as suas actividades. Um sitio em pleno contato com a natureza, podendo disfrutar de varias atividades colocadas ao nosso dispor.",3,positive,restaurante,julho,2016
1507,"Pessoalmente acho que, com as instalacoes que o hotel possui, nao seria muito dificil e ate muito mais dispendioso se existissem outros animais ( patos, galinhas, coelhos....). Grande parte dos utilizadores sao pessoas da classe media/alta, com filhos de tenra idade, que vivem nas cidades e, alguns, nao tem muitas hipoteses de conviver com os animais, chamados domesticos.",3,positive,hotel moderno,agosto,2015
1508,"Os meus filhos adoraram a interacao com os animais e da piscina com os escorregas. Gostamos muito da viagem de jipe pela herdade - motorista muito simpatico, assim como os restantes empregados do hotel. O unico ponto fraco e que a alimentacao nao e muito variada. Tem boa qualidade mas e muito cara. O hotel fica isolado e no hotel uma simples garrafa de agua e muito cara.",3,negative,Excelente semana,junho,2016
1509,"Simpatia desde a recepcao, passando pelo SPA, restaurante e nao esquecendo os quartos. Ao jantar podemos escolher entre a Carta ou buffet (com produtos regionais) e nao esquecer de beber os vinhos CSV.",3,positive,hoteis,junho,2016
1510,"Perfeito para uns dias de descanso em familia, onde se pode encontrar de tudo um pouco: emocao, descanso, boa comida, diversao, lazer e uma paisagem deslumbrante. Excecional em termos de  alojamento e staff e infraestruturas muito apelativas. Sentimo-nos em casa e de onde nos custa sair e com vontade de voltar.",3,negative,Chefe Flores,junho,2016
1511,"Para quem tenha pequenos, queira descansar e estar descansado ao mesmo tempo, recomendo vivamente. Ha sempre atividades para os miudos, e o pessoal e muito simpatico e cuidadoso.  Os quartos sao bons, o pequeno almoco e bom, e o retauraurante e bom.",3,positive,hoteis nao,junho,2016
1512,"Bom ambiente, pessoas simpaticas. Ferias de campo com excelencia, com excelente paisagem. A comida e o servico com qualidade. Hotel a recomendar para quem tem criancas, porque o espaco e a seguranca estao garantidos",3,positive,paisagem tipica alentejana,junho,2016
1513,"excelente estadia na casa beja com familia e amigos. o clube de campo e fantastico e proporciona descanso para nos adultos e liberdade para as criancas que adoram o local. as atividades sao fantasticas. julgo que e necessario fazer peuenos ajustes, nomeadmente no que toca a limpeza dos apartamentos. encronta-mos muito po nas zonas de menos facil acesso, mas que tornam o ambiente para quem e alergico como eu, algumas dificuldades iniciais.",3,negative,vinhas e olivais,junho,2016
1514,"Muito bom para passar uns dias em familia, com a nossa e com a familia Vila Gale. Divertimento, conhecimento e relax, sao os principais atributos. As visitas a adega de vinhos e o passeio de jipe pela quinta sao bastante proveitosas e acompanhadas por pessoas conhecedoras dos temas. A diversidade gastronomica tambem e muito boa.",3,positive,Inserida numa paisagem,junho,2016
1515,"O quarto era espacoso e estava bem limpo e arrumado, no entanto era virado a nascente o que faz com que seja muito quente e tenha muita luz logo de manha (a cortina nao estava a 100%). O espaco e agradavel muito embora as piscinas talvez precisassem de mais espaco quando o hotel esta com muita ocupacao, como era o caso na epoca em que estivemos. O buffet foi a maior decepcao: pagar 22.00 por adulto para comer frango ou lulas mal confeccionadas, estilo cantina de escola, num hotel de 4* inserido numa zona gastronomicamente tao rica como o Alentejo e de facto um desconsolo.",3,positive,tipica alentejana,junho,2016
1516,"Um excelente local para descansar! Com tudo o que o grupo vila gale nos habituou. Conforto, simpatia e sobretudo uma calma e paz para quem precisa de descansar do stress de uma grande cidade.  Com uma piscina suficiente para adultos e uma de criancas com escorregas capaz de manter as criancas ocupadas por bastante tempo :)  Um hotel rural muito bem estruturado.",3,positive,paisagem tipica,junho,2016
1517,"Boas instalacoes. Tem parque com escorrega e baloicos.  Tem piscina exterior para criancas com varios escorregas.  Tem um plano de animacao orientado para os mais pequenos que e muito bom e os pais tambem podem participar.  A animacao inclui varios jogos tradicionais portugueses de exterior,alimentacao aos animais, onde se incluem ponei, lamas, vacas, burro e porcos.  Tambem e possivel visitar os cavalos.  A piscina interior e boa e tem tambem jacuzzi e tres chuveiros de cascata e outros 2 que nao me recordo o nome. E banho turco.  Existem outras atividade que sao pagas.  Moto 4 Bicicleta  Andar a cavalo.  E deve haver mais atividades.   O buffet e bom.  Nao e particularmente perto de Aljustrel pelo que a minha recomendacao e que aproveitem o clube.  Recomendo!",3,positive,vistas maravilhosas,junho,2016
1518,"Nao contando com a chinfrineira dos miudos, foi relaxante e permitiu passear na regiao, uma vez que a adega e o processo de producao vinica ja conhecia de estadias anteriores. O final da noite, com luar quarto crescente no horizonte e um copo de Inevitavel ficarao certamente na memoria.",3,positive,eventos equestres,junho,2016
1519,Para hotel de 4 * a limpeza deixa muito a desejar pois o quarto quando chegamos encontrava se com varios rolos de po . No dias seguintes era uma luta constante com as toalhas para nao falar que uma das vezes deixamos as mesmas para mudar no chao e nao foram de modas apanharam nas do chao e penduraram como se fossem limpas. Enfim nao se compreende para nao falar na pouca simpatia!!!,3,positive,Inserida,junho,2016
1520,"Realizei o meu casamento aqui,descobri este hotel o ano passado numa visita que fiz ao Alentejo com agora meu marido para lhe mostrar onde fui criada e para ele exprimentar a cozinha e os doces do Alentejo.Apaixonamo-nos pela area e pelas pessoas deste hotel que desde o primeiro minuto nos trataram como familia.Juntamos aqui a familia dele e a minha que nunca se tinham conhecido visto eu ser Portuguesa e meu marido Ingles.Todos os contactos que fiz para realizar meu casamento foi por mail e telefone porque vivo em Inglaterra a 9 anos.Voamos para Portugal um dia antes do casamento,mas na data prevista 04-06-2016 as 2 da tarde tudo o que tinha sonhado para meu casamento estava la o Hotel organizou tudo nao nos faltou nada e o calor humano que estes empregados e manager nos deram",3,positive,alentejana,junho,2016
1521,"so nao achei excelente porque embora levando o equipamento tive que pagar o aluguer do court de tenis. nao sendo a primeira vez que visitei as instalacoes, gostei de tudo de forma geral,assim como restante parte da familia.",3,positive,planicies,junho,2016
1522,"Optimo atendimento, com pessoal simpatico e competente... conforto e insercao na Natureza criteriosos... boa higiene nos quartos e equipamentos do empreendimento (piscinas), muito bem decorados e funcionais...",3,positive,vinhas,junho,2016
1523,clube de Campo muito acolhedor e sempre com atividades para as criancas. o ideal para passar uns dias com familia. Atendimento muito bom e sempre preocupados com os clientes. voltarei a repetir a estadia,3,positive,olivais,junho,2016
1524,"Muito bom para quem procura o descanso e a gastronomia.  Os bons vinhos estao tambem presentes, muitos bons, Santa Vitoria  e Versatil. Condicoes excelentes para o Lazer. Pela certeza que irei voltar.",3,positive,disponibilidade de servicos,maio,2016
1525,"Espaco muito agradavel e acolhedor, a quinta e enorme e e digna de se explorar. Atravessada por um caminho de ferro inactivo. A comida e optima e atendimento excepcional. Da esplanada do bar assiste-se ao por do sol como se estivesse no cinema.",3,negative,piscina interior,junho,2016
1526,"Hotel com varias atividades para as criancas estarem em contacto com a natureza e os animais , espaco envolvente muito agradavel. alimentacao razoavel com sabores tipicos do Alentejo. Precos de bebidas e cafe demasiado elevados.",3,positive,interior e exterior,maio,2016
1527,"Hotel num local privilegiado, com uma paisagem envolvente bastante caracteristica. Podemos facilmente encontrar os elementos mais tipicos de uma paisagem alentejana. Ideal para familias com criancas. Na nossa opiniao, nao tanto para casais sem filhos. A opcao do hotel em colaborar com uma empresa externa, no que diz respeito as experiencias que oferecem (passeios a cavalos, entre outros), nao nos parece a melhor. Da ideia que o hotel apenas oferece a estadia (e instalacoes fisicas). O que retira alguma credibilidade as experiencias oferecidas e acaba por afastar os clientes das mesmas... O que e pena... Em relacao a alimentacao, penso que deviam aumentar a aposta nos produtos regionais. A oferta e variada, o que e bom para agradar a todas as faixas etarias, mas acaba por se",3,positive,paisagem,maio,2016
1528,"Muito bom para familias e grupos excelentes paisagens bom atendimento gastronomia tipica alentejana com actividades variadas , interaccao com animais da herdade e actividades agricolas em determinadas epocas do ano",3,positive,tipica,maio,2016
1529,"E uma excelente escolha para relaxar em familia, longe do bulicio das cidades e em comunhao com a natureza. O hotel insere-se numa zona muito reservada e tranquila. Disponibiliza piscinas interior e exteriores - uma delas exclusivamente para criancas - e um original parque infantil. A unidade demonstra ainda uma forte ligacao com a natureza, rodeando-se de enormes terrenos agricolas e de cultivo. Ha pequena quinta pedagogica para visitar, com alguns animais, e uma extraordinaria paisagem para apreciar. Para quem gostar de atividades programadas de aventura, tambem as ha, a cargo de uma empresa parceira do hotel (servico pago). O pequeno-almoco e excelente, atendendo a variedade e qualidade dos alimentos. O quarto onde ficamos era razoavelmente bom, mas penso que nao tao",3,positive,vistas,maio,2016
1530,"conhecer o campo organizado, trabalhado, e aberto aos clientes, sentir a herdade como se fosse nossa, saudades das vinhas, do olival, do pomar, dos animais, da grande cegonha que guarda o hotel na entrada, e principalmente da extrema simpatia e cordialidade dos empregados.",3,positive,maravilhosas,maio,2016
1531,"Staff inexcedivel! Local agradavel e muito calmo. Instalacoes poderiam ser melhores, em especial na insonorizacao e o estado do mini-golfe. Bom pequeno-almoco, restantes refeicoes menos interessantes. Sala de refeicoes algo pequena.",3,positive,funcionarios e disponibilidade,maio,2016
1532,"Este hotel e um sitio ideal para familias que tem criancas ate a idade da pre-adolescencia, cheio de actividades ao ar livre, promovendo o convivio, combatendo o sedentarismo, 5* nisso.   Cuartos bons, nao muito grandes, mas confortaveis. 3*  No que definitivamente tem de melhorar e no restaurante; tem de apostar muito mesmo, para poder ter uma experiencia completamente agradavel a cozinha deve e tem de ser melhor, ainda por cima dos valores praticados. Tem tudo este hotel excepto a comida, deixa muito a desejar. 0*",3,negative,planicie alentejana,maio,2016
1533,"Local muito bonito e calmo. Espaco muito agradavel para levar criancas pequenas. Muito afastado de tudo, o que quase nos obrigava  a fazer as refeicoes todas no hotel. Nao havia buffet a excepcao de uma noite em que o hotel estava mais ocupado e o restaurante tinha pouca variedade e muito caro para a oferta.  Fatura  apresentada no final da estadia muito confusa ao ponto de nos oferecerem logo uma maquina de calcular....",3,negative,rodeado de vinhedos,maio,2016
1534,"Pessoal simpatico ,bem localizado e boas condicoes,boa comida ,varios tipos de actividade  um bom SPA,excelente banho turco ,bons chuveiros,a visita  a adega de Santa Vitoria muito boa e com excelente prova de vinhos",3,positive,varias opcoes,maio,2016
1535,"Em pleno Baixo Alentejo tive o prazer de visitar um espaco unico, que nos proporciona momentos de lazer e de boa disposicao. Podemos visitar as producoes de vinho, conhecer varias especies de animais e caminhar pelos pomares da Herdade. E possivel andar a cavalo, de balao e desfrutar da magnifica piscina que existe no meio do hotel. A parte menos interessante sao as refeicoes servidas. Numa provincia onde a gastronomia e tao rica, esperava mais do restaurante. E este o unico ponto negativo que encontro no empreendimento. Estando a Herdade afastada das povoacoes mais centrais, penso que devem investir neste ponto. Ainda assim, vale a pena visitar!",3,positive,ocasiao para aproveitar,maio,2016
1536,"Tenciono voltar! Tranquilo, longe de tudo, otimo para criancas! Atendimento muito simpatico. A melhorar apenas sugeria alguma remodelacao ao mobiliario dos quartos e a mobilarem as varandas. A piscina e otima. O pequeno almoco e excelente e o Colombo (ponei) e muito simpatico! Toda a area envolvente e muito relaxante bem ao estilo do Alentejo. regressaremos seguramente!",3,positive,aproveitar a planicie,maio,2016
1537,"Um lugar onde nos sentimentos bem e somos muito bem recebidos. Parabens pela simpatia e profissionalismo de todos os colaboradores do Clube Campo. Um lugar que recomendo para passar uns dias tranquilos, e que brevemente irei repetir.",3,positive,instalacoes agradaveis,abril,2016
1538,"Muito boas instalacoes localisadas em ambiente rural na planicie alentejada , ideal para uma estadia verdadeiramente repousante . Permite facil deslocacao a Beja e outras localidades de grande interesse como Aljustrel , Ervideira Vidigueira , Serpa , Castro Verde , Alvito , Ferreira do Alentejo , todas a poucos quilometros de dIstancia . Quartos muito confortaveis , limpesa impecavel , muito bom pequeno almoco , atendimento profissional e muito simpatico . Passamos 2 noites muito agradaveis  apesar da chuva quasi incessante . Esperamos regressar com bom tempo . Recomendo vivamente.",3,positive,agradaveis com varias,abril,2016
1539,"Hotel com um ambiente espectacular inserido em meio rural. Ideal para descansar e usufruir da natureza, pois pode fazer passei pela herdade. Instalacoes muito bem cuidadas. Staff muito simpatico. Pequeno almoco variado e com qualidade. Problema com wi-fi nos quartos.",3,negative,excelente ocasiao,maio,2016
1540,"Optimas instalacoes, deslumbrante enquadramento paisagistico, a vinha e o vinho, o olival e o azeite, bom servico, propostas adequadas de actividades de lazer rurais, magnifico para uns dias de descanso a serio ou para uma escapadinha com as criancas, e o spa sempre ali a mao!... Muito bom... como e habitual no Vila Gale!...",3,positive,excelente pavilhao resultante,maio,2016
1541,"Hotel, pessoal, comida e bebida, alojamento, atividades, ambiente, meio envolvente, tudo maravilhoso. Muito engracado e divertido para os miudos e nao so a quintinha, os cavalos as arvores de frutos, a vinha, a adega. E para voltar.",3,positive,antigos armazens agricolas,abril,2016
1542,"Excelente localizacao. Uma herdade muito bem tratada com varias actividades para passar muito bem o tempo! Otimo para uma fuga ao dia-a-dia. Ideal tambem para quem tem criancas. Staff excelente, hotel acolhedor e sempre bem tratado.",3,positive,excelente pavilhao,abril,2016
1543,E um hotel espectacular tem um pouco de tudo e e excelente para quem tem filhos e gosta da natureza. E um sitio calmo e sossegado onde se pode quebrar o ritmo e o stress citadino . Caso tenham a oportunidade nao hesitem em ir passar uns dias neste formidavel hotel,3,positive,alentejana,maio,2016
1544,"Localizacao com envolvente rural belissima. Quarto silencioso com otimas camas. Higiene sem nada a apontar. Pequeno almoco bom e variado. Jantar buffet muito bom. Otimas atividades de ar livre, Recomendo a visita de jeep para conhecer toda a propriedade. Colaboradores simpaticos e sempre atenciosos.",3,positive,rodeado,maio,2016
1545,"Local ideal para descansar e desfrutar das belezas da Natureza. Um passeio pela herdade para observar as vinhas e pomares e toda a dinamica relacionada com o desenvolvimento das plantas e um momento que nao se pode perder  Pessoal extremamente simpatico e eficiente ajudam a tornar o tempo, aqui vivido, como inesquecivel. Boa comida e optimo servico.",3,positive,olival,abril,2016
1546,"Sitio extraordinario, com vista, animais, muitas atividades para criancas. Quartos um pouco aquem, para o preco praticado. O berco do bebe tinha um colchao completamente torto. Pessima insonorizacao, ouve-se os vizinhos a tomar banho. Os precos praticados no restaurante sao excessivos.",3,negative,opcoes,abril,2016
1547,Ja sou cliente dos Vila Gale ha algum tempo e tive mais uma vez uma experiencia magnifica. O hotel Vila Gale Clube de Campo e uma experiencia unica e voltarei la brevemente.Aconselho a todos uma visita a adega.,3,positive,excelente,maio,2016
1548,"Ambiente tranquilo, em ambiente rural e com as comodidades necessarias para nada mais ser preciso para se passar dias tranquilos. Ambiente perfeitamente adequado para criancas, com interesses diversos.",3,positive,armazens agricolas,maio,2016
1549,"Local  calmo e espectacular . Excelente servico . Recomendo tanto para estar com os filhos   como para casais  . Boa localizacao, perto de Beja e Castro verde . Boa gastronomia . Diversas actividades para as criancas .",3,positive,ementa agradavel,abril,2016
1550,Local de paisagem natural fantastica. Tranquilidade e bem estar invadem os clientes. Boas instalacoes e servicos no geral. Otimo para ir com criancas. Servico de restauracao e bar impecaveis. Muito bom no geral.,3,positive,ocasiao,maio,2016
1551,O espaco e lindo. A zona envolvente e fantastica. Aconselho o regime de meia pensao dado nao haver  comercio por perto. Qualquer saida implica andar de carro. O quarto familiar e agradavel. Os funcionarios sao simpaticos.,3,positive,aproveitar,abril,2016
1552,"Boas instalacoes, diversidade de atividades na natureza, quinta pedagogica, area infantil interessante. limpeza e excelente pequeno almoco. Ambiente saudavel com grandes areas para caminhadas.  Longe mas vale a pena.",3,positive,passeios pela herdade,abril,2016
1553,"O Vila Gale Clube de Campo e um espaco  e alojamento dotado de especial envolvencia para umas ferias em familia muito agradaveis e relaxantes. Apresenta uma gastronomia diferenciadora e tradicional, actividades ludicas interessantes e estimulantes. A limpeza dos espacos e alojamento e excelente, a comodidade e atendimento sao fantasticos. Recomendo o vila gale Clube de Campo. Parabens pela tranquilidade proporcionada e pelo servico de excelencia.",3,positive,intimo contacto,abril,2016
1554,"O Hotel localiza-se numa zona calma e rodeada pela natureza alentejana. O staff do hotel muito simpatico, nomeadamente o staff do restaurante que sempre estava disponivel para satisfazer os nossos pedidos. A equipa de Animacao do hotel Emotion tambem muito simpatica e sempre com atividade para as criancas. Na propriedade do Hotel podemos ainda ver Poneis, Lamas, Cabras, Vacas, Burros, Porcos Vietnamitas, Ovelhas e ouros, O passeio de ponei faz as delicias dos mais novos. No exterior encontram-se duas piscinas uma para adultos e outra para criancas que contem dois escorregas que vao diretos para a piscina, contem tambem um parque infantil com o essencial para as criancas se divertirem. A visita a Adega tambem aconselha como tambem a prova de Vinhos dos Vinhos Santa Vitoria.",3,positive,natureza com possibilidade,abril,2016
1555,"Foi uma estadia de 3 noites com a sensacao de nao querermos sair. As instalacoes sao optimas, o staff e  simpatico e disponivel. Os quartos muito bem limpos. O pequeno-almoco tem muita variedade. Vale a pena fazer a viagem ate Beja e disfrutar deste belo espaco",3,positive,possibilidade de visitar,abril,2016
1556,"Staff excelente, instalacoes excelentes. Para quem deseja uns dias de relax absoluto nao poderia ser outra opcao. Poderiam melhorar na parte da alimentacao, carta com pouca variedade e os pratos confeccionados com alguma falta de sabor, quando Buffet.",3,positive,visitar os animais,abril,2016
1557,"A localizacao e excelente, e na generalidade, todos os Funcionarios sao simpaticos. O local oferece imensas formas de Lazer e divertimento. Estamos no coracao do Alentejo, e a relacao com a Natureza e do mais puro e genuino que se pode ambicionar. No Restaurante, achei que a comida tem excelente qualidade, so nao concordo com om preco do MENU, 22 Euros por pessoa e sem incluir as bebidas. E demasiado caro, tambem por comparacao com outros Vila Gales. Tem de repensar este aspeto. De resto foi excelente e por isso recomendamos e voltaremos.",3,positive,herdade,abril,2016
1558,"Um ambiente formidavel, e uma local maravilhoso, muito sossegado, ideal para descansar e recarregar energias. Um local paradisiaco, excelente para levar criancas! Tem um restaurante fenomenal, com comida tipica alentejana. Adoramos!!!",3,positive,Beja e Castro,abril,2016
1559,"Bom atendimento, local formidavel para um bom descanso.  Deixa um pouco a desejar em relacao ao buffe, preco elevado para a variedade de alimentos apresentados.  A concelho visita a adega e tambem passeios pela natureza.",3,positive,Castro Verde,abril,2016
1560,Recomendo este hotel familiar. Tem um espaco exterior magnifico. Animais para alimentar diariamente. Vinhas e pomares de se perder a vista e a bela albufeira do Roxo ao fundo. A nao perder tambem uma visita a adega.,3,positive,conservacao e manutencao,abril,2016
1561,"Se quiser um local longe do barulho e stress da cidade, encontrou. No Alentejo mais profundo e calmo, depois de uma estrada rural e de uma pequena aldeia, com quartos espacosos e arrejados, estevhotel oferece ar livre, actividades, passeios, vinhos...",3,positive,Hotel em intimo,abril,2016
1562,"Uma surpresa de que nao estava a espera. Um verdadeiro tesouro no meio do Alentejo. Calmo, sem confusao, optimo para descansar. Ideal para passar uns dias com a familia, com muitas actividades para criancas. Aconselho regime de meia pensao.",3,positive,intimo,abril,2016
1563,"O ano passado, no Nautico, no Algarve, este ano, no Clube de Campo, em Beja. Duas boas Pascoas passadas com a Vila Gale. Esta sobretudo, porque, com uma crianca de tres anos, nao ha nada melhor que uma herdade com animais e com parque infantil. Fez as delicias da pequena e dos graudos. Aconselho!",3,positive,contacto,marco,2016
1564,"boa cama, boa comida, belissimo cenario. Especial...unico!!!  muito especial no caso em que estivemos inseridos, com um belo programa variado de exploracao das redondezas, e com a sorte de um tempo atmosferico bastante favoravel, mesmo sem ser o ideal, o que nem sempre e possivel...",3,positive,natureza,abril,2016
1565,"O hotel e uma especie de quinta, com todas as comodidades de um hotel. Pequeno almoco muito bom, local super sossegado. Muitas atividades ludicas e desportivas para fazer no hotel! Excelente para quem tem criancas ou apenas para fugir ao stress citadino (que foi o nosso caso). Aconselho a fazer o passeio de moto 4, e espetacular!",3,positive,possibilidade,marco,2016
1566,Paragem habitual de verao! Verao que e Verao implica pelo menos uma semana em familia ao sol do Alentejo! Ha mais de 13 anos que assim e! Para os miudos Ferias de Verao sao Clube de Campo! Onde entre hospedes e funcionarios formam uma grande familia.,3,positive,visitar,marco,2016
1567,"Ideal para fugir ao stress da vida nas grandes cidades! Proporciona contacto com a natureza, localizado numa magnifica e bem cuidada propriedade agricola com mais de 1600 hectares.Servico simpatico e eficiente gastronomia com pratos bem confecionados e com boa relacao qualidade/preco. Recomendo a visita a propriedade atraves de um passeio de btt que pode alugar no local,assim como campo de tenis ,passeio de caiaque no lago da herdade .Este e um local ideal para familias com criancas. A nao perder tem todo o que necessita para usufruir da natureza,fazer desporto e observar a natureza desde a fauna local ate abre migratorias que escolhem esta regiao na Primavera.",3,positive,animais,marco,2016
1568,"E bom voltar ao Vila Gale Clube de Campo uma vez mais e, desta vez, com Criancas afim de conferir se elas colaboram com a boa opiniao dos Adultos sobre o Hotel e toda a sua envolvencia... e, nao e que ficaram encantadas...",3,positive,passeios,agosto,2015
1569,"Dia 1, recepcao excelente! Quarto nem por isso, mas vamos ver os proximos dias... Ambiente do Hotel Excelente, mas com muuuuuuitas criancas pro todo o lado! Pequeno Almoco dentro dos padroes Vila Gale, e fizemos o Volteio a Cavalo, 15m/10 Euros, com o Sr. Nuno! 5 estrelas! Vale a pena!",3,positive,estado de conservacao,marco,2016
1570,"Hotel maravilhoso, lugar maravilhoso, com varias ninhos de cegonhas. Quartos aconchegantes e espacosos. Lugar para relaxar. Restaurante buffet com bastante opcoes. Bar com sofas e mesa de sinuca. Atividades para criancas e adultos.",3,positive,Hotel,marco,2016
1571,"Uma vez mais a escolha para descanso em familia recaiu no Clube de Campo e novamente sem desapontar. Excelente local para descansar e estar em familia, optimo servico a todos os niveis - recepcao, restaurante, limpeza, piscina (spa) - com profissionais sempre disponiveis e simpaticos para qualquer esclarecimento ou ajuda que lhes seja solicitada. Optimo local para se ir com criancas pela quantidade de actividades que lhes pode proporcionar, com especial realce para a Quinta Pedagogica e o Picadeiro. O restaurante apresenta um menu variado, tendo-nos proporcionado excelentes refeicoes cuja relacao qualidade-custo e bastante simpatica. Pelo mesmo que nos e cobrado num restaurante da regiao aqui somos brindados com refeicoes de um nivel superior. Especial realce para a Sopa de",3,positive,areas comuns,marco,2016
